RowNumber,CustomerId,Surname,Gender,Age,Province,City,AreaType,EducationLevel,EmploymentType,PreferredLanguage,Bank,AccountType,Tenure,CreditScore,CreditRating,CreditBureau,NumOfProducts,ProductName,HasSavingsAccount,HasChequeAccount,HasCreditCard,HasPersonalLoan,HasHomeLoan,HasVehicleFinance,HasInvestmentAccount,HasPremiumBanking,HasCreditCard_Flag,Balance_ZAR,AnnualSalary_ZAR,MonthlySalary_ZAR,SalaryPaymentMethod,FinancialWellnessScore,IsActiveMember,UsesMobileBanking,UsesInternetBanking,MonthlyBranchVisits,MonthlyATMTransactions,CustomerServiceCalls_12M,Complaints_12M,PreferredCommChannel,Churned,Geography_Original
1,15634602,Hargrave,Female,42,Gauteng,Centurion,Suburban,Matric,Employed,siSwati,Capitec,Prestige,2,619,Fair,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,0.0,2077652.04,173137.67,Cheque,4.4,1,1,1,1,9,3,0,Email,1,France
2,15647311,Hill,Female,41,North West,Brits,Suburban,Postgraduate,Employed,Tshivenda,Standard Bank,Prestige,1,608,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,0,1718061.13,2307122.89,192260.24,Cash,5.6,1,1,0,1,12,1,0,SMS,0,Spain
3,15619304,Onio,Female,42,Western Cape,Stellenbosch,Suburban,Matric,Employed,English,Standard Bank,Cheque,8,502,Poor,TransUnion,3,Savings + Credit Card + Personal Loan,1,1,1,1,0,1,0,0,1,3273046.4,2335597.18,194633.1,Direct Deposit,6.0,0,1,0,2,12,0,1,SMS,1,France
4,15701354,Boni,Female,39,Gauteng,Sandton,Suburban,No Matric,Pensioner,Sesotho,Nedbank,Savings,1,699,Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,0.0,1923445.92,160287.16,Direct Deposit,4.7,0,1,1,1,7,1,0,SMS,0,France
5,15737888,Mitchell,Female,43,Free State,Sasolburg,Urban,Matric,Employed,Setswana,Nedbank,Pensioner,2,850,Excellent,TransUnion,1,Savings Account,1,1,0,0,1,0,0,0,1,2572971.81,1621224.05,135102.0,Cheque,6.7,1,1,0,1,16,3,1,SMS,0,Spain
6,15574012,Chu,Male,44,Free State,Bethlehem,Urban,Matric,Employed,isiZulu,Absa,Cheque,8,645,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,2331993.49,3070012.56,255834.38,Direct Deposit,6.6,0,1,1,2,12,2,2,WhatsApp,1,Spain
7,15592531,Bartlett,Male,50,Gauteng,Pretoria,Suburban,Postgraduate,Pensioner,isiZulu,Capitec,Cheque,7,822,Excellent,TransUnion,2,Savings + Credit Card,1,0,1,0,1,0,0,0,1,0.0,206287.4,17190.62,Direct Deposit,4.0,1,1,0,2,7,3,0,SMS,0,France
8,15656148,Obinna,Female,29,Limpopo,Tzaneen,Urban,Matric,Employed,English,Nedbank,Student,4,376,Poor,TransUnion,4,Premium Banking Package,1,0,1,1,0,0,0,1,1,2358458.17,2446611.04,203884.25,Cash,4.9,0,1,1,1,10,3,0,Email,1,Germany
9,15792365,He,Male,44,Gauteng,Centurion,Urban,Degree,Employed,isiXhosa,Capitec,Savings,4,501,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,2912046.94,1536280.25,128023.35,Direct Deposit,5.2,1,1,0,1,6,4,0,SMS,0,France
10,15592389,H?,Male,27,Western Cape,Stellenbosch,Urban,Matric,Employed,isiXhosa,Capitec,Savings,2,684,Good,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,2759379.54,1470377.46,122531.46,Direct Deposit,5.9,1,1,1,5,16,2,1,WhatsApp,0,France
11,15767821,Bearce,Male,31,Western Cape,George,Suburban,Diploma,Employed,Xitsonga,Standard Bank,Pensioner,6,528,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,2091342.76,1643712.96,136976.08,Direct Deposit,4.9,0,1,1,3,11,3,0,Email,0,France
12,15737173,Andrews,Male,24,North West,Potchefstroom,Urban,No Matric,Employed,English,Absa,Prestige,3,497,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,1,0,0,0,1,0.0,1565995.2,130499.6,Direct Deposit,3.5,0,1,0,0,8,0,0,WhatsApp,0,Spain
13,15632264,Kay,Female,34,Western Cape,Stellenbosch,Urban,Diploma,Unemployed,Sesotho,Absa,Savings,10,476,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,538350.09,44862.51,Direct Deposit,2.6,0,1,1,2,8,2,0,WhatsApp,0,France
14,15691483,Chin,Female,25,Gauteng,Midrand,Suburban,Diploma,Employed,Tshivenda,Absa,Savings,5,549,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,1,0,0,0,0,0.0,3912584.7,326048.73,Cash,5.4,0,1,1,1,4,1,0,WhatsApp,0,France
15,15600882,Scott,Female,35,North West,Potchefstroom,Urban,Matric,Unemployed,English,Nedbank,Cheque,7,635,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,1352008.82,112667.4,Cash,4.0,1,1,1,1,7,4,0,SMS,0,Spain
16,15643966,Goforth,Male,45,Eastern Cape,Grahamstown,Urban,No Matric,Student,Afrikaans,Standard Bank,Savings,3,616,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,2934152.9,1318708.83,109892.4,Cash,5.6,1,1,0,4,3,1,0,App Notification,0,Germany
17,15737452,Romeo,Male,58,Limpopo,Mokopane,Suburban,Postgraduate,Pensioner,English,Capitec,Savings,1,653,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,2718359.04,104502.24,8708.52,Direct Deposit,4.7,0,1,0,2,8,1,0,SMS,1,Germany
18,15788218,Henderson,Female,24,Northern Cape,De Aar,Urban,Diploma,Self-Employed,isiZulu,Standard Bank,Prestige,9,549,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,295331.4,24610.95,Direct Deposit,2.8,1,1,0,4,8,1,0,SMS,0,Spain
19,15661507,Muldrow,Male,45,Free State,Welkom,Urban,Matric,Pensioner,Sesotho,Nedbank,Savings,6,587,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,0,0.0,3253038.6,271086.55,Direct Deposit,5.1,0,1,1,3,7,4,0,Phone Call,0,Spain
20,15568982,Hao,Female,24,KwaZulu-Natal,Newcastle,Rural,Matric,Student,Sesotho,FNB,Cheque,6,726,Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,1121842.62,93486.88,Direct Deposit,4.2,1,0,0,1,6,1,0,SMS,0,France
21,15577657,McDonald,Male,41,Western Cape,Stellenbosch,Suburban,Matric,Self-Employed,English,Nedbank,Cheque,8,732,Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,3503166.49,291930.54,Direct Deposit,6.0,1,0,1,1,7,1,0,App Notification,0,France
22,15597945,Dellucci,Female,32,North West,Brits,Urban,Matric,Employed,Afrikaans,FNB,Cheque,8,636,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,2840386.93,236698.91,Direct Deposit,5.1,0,0,1,0,8,6,1,SMS,0,Spain
23,15699309,Gerasimov,Female,38,North West,Klerksdorp,Urban,Diploma,Pensioner,isiXhosa,Absa,Cheque,4,510,Poor,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,0.0,2437727.36,203143.95,Direct Deposit,4.2,0,1,1,1,13,5,0,Phone Call,1,Spain
24,15725737,Mosman,Male,46,Gauteng,Midrand,Suburban,Diploma,Unemployed,Afrikaans,Capitec,Savings,3,669,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,0.0,173998.88,14499.91,Direct Deposit,3.3,1,1,1,1,11,3,0,WhatsApp,0,France
25,15625047,Yen,Female,38,Gauteng,Sandton,Urban,Degree,Employed,Afrikaans,Capitec,Prestige,5,846,Excellent,TransUnion,1,Savings Account,1,1,0,0,1,0,0,0,1,0.0,3846131.28,320510.94,Direct Deposit,6.8,1,1,1,1,10,0,0,Phone Call,0,France
26,15738191,Maclean,Male,25,KwaZulu-Natal,Newcastle,Suburban,No Matric,Pensioner,isiXhosa,Absa,Cheque,3,577,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,1,0,0,0.0,2552419.94,212701.66,Cash,4.6,1,1,0,3,14,0,0,Email,0,France
27,15736816,Young,Male,36,Eastern Cape,Grahamstown,Suburban,Postgraduate,Employed,Tshivenda,FNB,Savings,2,756,Very Good,TransUnion,1,Savings Account,1,0,0,0,0,1,0,0,1,2804720.62,3485859.98,290488.33,Cash,7.7,1,0,1,1,8,0,0,SMS,0,Germany
28,15700772,Nebechi,Male,44,Gauteng,Pretoria,Urban,Diploma,Employed,Afrikaans,Nedbank,Cheque,9,571,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,0.0,787883.68,65656.97,Direct Deposit,3.3,0,1,1,1,8,3,0,WhatsApp,0,France
29,15728693,McWilliams,Female,43,Limpopo,Musina,Urban,Diploma,Employed,Sesotho,Absa,Savings,3,574,Poor,TransUnion,1,Savings Account,1,1,0,0,0,0,1,0,1,2897663.32,2053842.32,171153.53,Direct Deposit,5.9,1,1,1,0,7,2,0,Phone Call,0,Germany
30,15656300,Lucciano,Male,29,KwaZulu-Natal,Pietermaritzburg,Suburban,Matric,Employed,isiZulu,Capitec,Prestige,0,411,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,1223791.98,1096405.8,91367.15,Direct Deposit,3.5,1,1,1,1,9,2,0,SMS,0,France
31,15589475,Azikiwe,Female,39,Free State,Welkom,Urban,Postgraduate,Employed,isiZulu,Capitec,Savings,3,591,Fair,TransUnion,3,Savings + Credit Card + Personal Loan,1,1,1,1,1,0,0,0,1,0.0,2879622.29,239968.52,Direct Deposit,4.9,0,1,1,1,13,2,2,SMS,1,Spain
32,15706552,Odinakachukwu,Male,36,KwaZulu-Natal,Newcastle,Urban,Diploma,Self-Employed,English,FNB,Cheque,7,533,Poor,TransUnion,1,Savings Account,1,0,0,0,1,0,0,0,0,1748889.85,3213004.16,267750.35,Direct Deposit,5.9,1,1,1,0,5,2,0,Email,0,France
33,15750181,Sanderson,Male,41,Eastern Cape,Uitenhage,Urban,Diploma,Employed,Sesotho,Standard Bank,Prestige,9,553,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,2257307.07,1678925.6,139910.47,Direct Deposit,5.1,0,1,0,0,13,1,1,WhatsApp,0,Germany
34,15659428,Maggard,Female,42,North West,Mahikeng,Urban,Matric,Employed,Sesotho,Capitec,Savings,6,520,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,705416.28,58784.69,Direct Deposit,3.0,1,1,0,0,6,1,0,WhatsApp,0,Spain
35,15732963,Clements,Female,29,Free State,Welkom,Urban,Matric,Unemployed,Sepedi,FNB,Cheque,9,722,Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,2911677.94,242639.83,Direct Deposit,5.5,1,1,0,1,5,0,0,WhatsApp,0,Spain
36,15794171,Lombardo,Female,45,KwaZulu-Natal,Newcastle,Suburban,Postgraduate,Employed,isiXhosa,Capitec,Prestige,0,475,Poor,TransUnion,1,Savings Account,1,1,0,0,1,0,0,0,1,2752412.82,570371.3,47530.94,Direct Deposit,4.3,0,1,1,1,13,1,1,WhatsApp,1,France
37,15788448,Watson,Male,31,Free State,Bloemfontein,Urban,Diploma,Pensioner,isiZulu,Standard Bank,Prestige,3,490,Poor,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,0,2977834.72,2338368.78,194864.06,Direct Deposit,5.8,1,0,1,2,5,0,0,App Notification,0,Spain
38,15729599,Lorenzo,Male,33,North West,Brits,Urban,No Matric,Unemployed,Afrikaans,Capitec,Savings,7,804,Excellent,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,0,1569246.3,2018295.72,168191.31,Direct Deposit,6.2,1,1,1,0,7,1,2,Phone Call,0,Spain
39,15717426,Armstrong,Male,36,Gauteng,Johannesburg,Suburban,Matric,Unemployed,isiXhosa,Absa,Savings,7,850,Excellent,TransUnion,1,Savings Account,1,0,0,0,1,0,1,0,1,0.0,836664.45,69722.04,Direct Deposit,4.6,1,1,1,1,12,1,1,SMS,0,France
40,15585768,Cameron,Male,41,Mpumalanga,Secunda,Rural,Matric,Employed,isiXhosa,Nedbank,Savings,6,582,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,1442164.34,3650517.82,304209.82,Cheque,6.3,1,0,1,4,8,0,0,WhatsApp,0,Germany
41,15619360,Hsiao,Male,40,North West,Potchefstroom,Urban,Diploma,Student,Sesotho,Standard Bank,Prestige,4,472,Poor,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,0.0,1438161.51,119846.79,Direct Deposit,3.3,0,1,1,1,6,2,1,App Notification,0,Spain
42,15738148,Clarke,Female,51,Gauteng,Sandton,Rural,No Matric,Employed,isiXhosa,FNB,Cheque,8,465,Poor,TransUnion,1,Savings Account,1,1,0,0,1,0,0,0,0,2511707.56,3716601.82,309716.82,Cash,6.4,0,0,0,3,7,3,0,Email,1,France
43,15687946,Osborne,Female,61,Western Cape,Paarl,Suburban,No Matric,Employed,Tshivenda,Standard Bank,Savings,2,556,Poor,TransUnion,1,Savings Account,1,1,0,0,1,0,0,0,1,2407096.68,1930153.52,160846.13,Direct Deposit,5.4,1,1,1,1,5,2,0,Email,0,France
44,15755196,Lavine,Female,49,Gauteng,Pretoria,Urban,Degree,Unemployed,Sesotho,FNB,Cheque,2,834,Excellent,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,0,2693588.48,3984498.08,332041.51,Direct Deposit,8.4,0,1,1,2,11,1,1,WhatsApp,1,France
